connection_name,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30
R-vId/vIg - L-A11l,-0.10089986710795812,0.16361489606961013,0.07590763327629582,0.08938988799248114,0.046343344434558204,-0.06930992826831989,-0.040253411637270045,0.061100899669301614,0.12798558831653814,0.03153374327099835,-0.03907987924674132,-0.13931982345167285,0.06428875594119475,0.1728105644597791,-0.05843079483359146,-0.06471717934276067,0.07948989793563248,-0.20692169095692525,0.031502897876761464,0.05476624537646981,-0.09099159971388103,0.1535434160311239,0.1379533486431553,0.05015954019352996,-0.027113473178245223,0.010066470987299318,-0.12777906916590795,0.09880317465320773,-0.06107746300261169,-0.16453598273591513
R-vId/vIg - R-A13,-0.08533447318711729,0.11418766709194046,0.055459174151783794,0.032276504040721445,-0.033741754278385286,-0.009751761536148307,-0.031051387330358345,0.08503623272306196,0.0636059396140947,0.05583154561668996,-0.08898613761214322,-0.22509565034681,0.03480110291239975,0.18000469222100915,-0.06820882721154797,0.19432253395269872,0.17067238429585183,0.02525553016580271,0.004807415632001058,-0.0318248163839332,0.009965092654134651,-0.13964355464473727,-0.020129989895070408,-0.0509866776687184,0.2069487100118215,-0.13572782037416187,-0.06728200994082587,0.15916431528176533,-0.048130912603539064,-0.09139007313152571
R-vId/vIg - L-A38m,-0.14026967590987005,0.06210876987755634,0.06319943392192796,-0.07379223162030789,0.03069567307208463,-0.07580984612496278,-0.14580839203409993,0.21603373613267485,-0.13068445699658446,0.12378246802372847,-0.14631930532469462,-0.021036211283506565,-0.130403103609431,0.018312263697784346,-0.06608601593286291,-0.04934202516150036,0.007752706623324043,0.04116839020970852,0.08974273041584593,0.004219566162250606,-0.19477883825139874,-0.03581273842300149,-0.006590401521077996,0.18781474493751105,0.05674117035289122,-0.04303288733934121,0.15212647253557723,-0.028511082257350398,-0.03541671360409787,-0.0729154211562926
R-vId/vIg - R-A22c,-0.06258554700462707,0.10531427632822649,0.12609518227649366,0.017947884774187704,-0.07762883938666515,0.03288229908300344,-0.01669050745321302,-0.0196877595346659,0.06322404723977977,-0.03924286973900627,-0.0180388411337832,-0.07581287830386797,-0.04430593467125317,-0.0014000217488766478,0.05866562779144957,0.004714862068024336,0.12013100719911304,0.03882780627501587,-0.03805584759396666,-0.2278820022910069,-0.054651296579778325,0.10929502108440058,0.0643070238471592,-0.10344165050717304,-0.17900281112048033,0.03819244723544398,0.003041053476463395,0.08321842762899573,0.01566454033860409,-0.10158585781030904
R-vId/vIg - L-A22r,-0.07868634898399608,0.12858491208996564,0.1226707326367588,0.03835888560409863,-0.07393437018080481,0.06222832072570919,-0.04661960950579722,0.04358162895973842,0.07759681495308399,-0.15996340674481907,-0.028046572981005134,-0.020803117225009837,0.007285202949474941,0.01194608956386891,0.1916701313627863,-0.13862916063234382,0.04068402400779643,0.18150803969983761,0.040916888254643756,-0.2041060418385222,-0.11269601509116339,-0.0065325942675289045,0.11862664222721303,0.11573014087125637,0.06973131178534948,-0.018386850743729345,-0.08325583752623186,0.007327062565923692,0.15494559233617866,0.09138624138915118
R-vId/vIg - L-vId/vIg,-0.041075902060966514,0.022591183864635298,0.06291320015885603,0.03064786593245208,-0.028692721057539568,0.016090139070584857,0.006903826719594906,-0.041567148409537784,0.01576290425689049,0.009096685426928229,-0.02525000901917289,-0.07329085036626462,0.023991209871915446,-0.009282205772992484,-0.018420449736751887,-0.023635571851151442,-0.09709474155115298,-0.0554970050023941,0.07895848223085145,-0.21640698441309494,-0.01636801894714709,0.035043867448860254,0.0041273495994190446,-0.18642856453762402,-0.010818518486751942,-0.0006955489344071773,0.028934682154138122,-0.1266335704536135,0.03281703227452862,0.0553646621949936
R-V5/MT+ - R-A10m,-0.09783051991751542,0.10494095259810848,0.17067276100584794,-0.02147302024410689,-0.23281758413624729,0.01924686623255004,0.05609695329376392,-0.16526781173026336,-0.07446205289646587,0.05066035170024485,-0.0904181381727067,0.10986946041825511,0.06567619103887443,-0.09803734552114926,-0.047763174147583264,0.1454386863208389,-0.1052978651570585,0.0638991818773273,-0.06894437546177812,0.08689413552771882,0.20572169569062396,0.0372774067189276,0.007369680530197865,0.1893078426269564,-0.15730368161519712,-0.049311202952295116,-0.046797279677978074,0.07497799956960959,-0.11027935241945082,-0.06606520036698894
R-V5/MT+ - L-A11l,-0.09448157534969544,0.10156562864878173,0.0880166559993074,0.07989804911697762,-0.09811073424183214,-0.09700381750639948,0.15638535407663368,-0.03306351349544578,0.1601290964046995,0.16196492822362113,0.048018457707357916,0.1385206497548087,0.09176605610064428,-0.13335723421780266,-0.10457045013718676,-0.06153229941084298,-0.018865407754993124,-0.16212283956855678,0.09601577035142024,0.1515049467598434,-0.061039416257977104,-0.06270050943008412,-0.08989016979729839,0.08750714331027085,0.1538216386784596,0.005343385061550885,0.01713669525621117,-0.08252711617626987,0.10264400208584717,-0.07627038834700915
R-V5/MT+ - R-A13,-0.10918014391533172,0.024899306197767486,0.12852779455949764,0.06770452852252329,-0.1092863382791336,-0.05518675713901361,0.27079330120481904,0.0645096121964135,0.01835557720650191,-0.032841196492037164,-0.11992536789440666,-0.03979451022863864,0.07167741817203639,-0.02697704467975406,-0.13902136258698522,0.1630712649973054,-0.01390099399649497,-0.02872348763940727,0.09158712401413784,0.019845229832247957,0.04051502534082574,-0.13200022971233333,-0.1525861308822391,0.04527762278955202,0.04785782024941532,-0.03686637387672358,0.05376509275691006,-0.01793490284962975,0.029230487782325173,0.036871626739620134
R-V5/MT+ - L-A38m,-0.09647619064256789,-0.06099350006306274,0.15002484320733772,-0.13061457588905906,-0.1419497667860934,-0.10036233299449315,0.10299242038357441,0.0880852441894457,-0.1717493406236664,0.18107424251017976,0.042877383472808735,-0.07346037252053704,-0.05433440073004839,0.02526591166076834,-0.010967615291695897,-0.022946219417844037,-0.07308094224146318,-0.08594499412102494,0.05343341278846819,-0.04579916551335437,0.07050596835810177,-0.04369451140251705,0.12263917797051085,0.010664457514082942,-0.14707171571189168,0.11652343012019445,-0.01669649920210746,0.03565349742067108,0.1458986608992779,0.09888909769812584
R-V5/MT+ - R-A22c,-0.06937988721088634,0.03360097421705749,0.10611303543402135,-0.014641330200057251,-0.10462301183391502,0.08604589923652177,0.09281389970367157,-0.034679833302952774,0.08050819933768323,0.009016230618334876,-0.06669664022127797,0.13932041647814433,0.0082141458973619,-0.12235423424284632,-0.10360439674728701,0.14940647373063606,0.060737396398843596,-0.0865870304959625,-0.12270922960271366,-0.02306213724268109,0.004272238871992334,0.07598338871849528,0.05279903426793453,0.22113883314760127,0.031438058456681066,0.09991908235115118,0.06547440111213775,-0.10891759490974098,-0.11389499156201285,0.031491299595589106
R-V5/MT+ - L-A22r,-0.06604654560875245,0.020788630256032704,0.09457888771252272,-0.07580542867500882,-0.13439251546232944,0.07104819474080379,0.1623488273820921,0.032751920999540794,0.0067489048385213956,-0.009157806672348043,-0.03157710391972434,0.012624693084344756,0.015754791537877084,0.09348780929416,-0.052881518135038635,0.0005085508719537418,-0.11169387787810155,-0.03850568127438861,-0.16086142705585416,-0.09345899801273536,0.06681350756801702,0.08315282607073045,0.04756456522161156,0.16797147197553536,-0.06760628723590309,-0.04984821341916202,-0.0931903882573884,-0.15033478150865523,-0.02281067547346291,-0.04812483930768546
R-V5/MT+ - L-vId/vIg,-0.10260656254998018,0.09282363280744443,0.14881810192901607,0.021328248675950404,-0.10067151940694924,0.09004471225266165,0.05787161689039627,0.040693976501933446,0.1196990900849613,-0.012694007212982333,-0.12746771128127088,0.10732807827576793,-0.0275866470988627,-0.1788033480320433,-0.07746798518557649,-0.029340113415094196,0.015797516964210313,0.05290893839688371,-0.2248994303960398,-0.04946433898547302,0.09539815604010238,-0.052158309816866075,-0.021741945601955883,-0.17100146338080824,0.11105455365441677,-0.0038509410968121938,0.09859900769367178,-0.0022870614841797765,-0.03589131261269428,-0.14279365042500758
R-V5/MT+ - R-vId/vIg,-0.09128783134385249,0.06309322529738953,0.1981239250085771,0.011368683966976446,-0.08250735153246452,0.07430083807672822,0.0884234195449273,0.038342789929458866,0.10245855628848029,0.01990115332961795,-0.1688783375943327,0.0842707306554738,0.014537739245661915,-0.12773631879884723,-0.0759233259445524,0.03753834643508064,0.07546289511457129,-0.013366915226698785,-0.26773003678602697,-0.11541010016761605,-0.021629824760946156,0.02491163084445447,-0.04922635452420609,0.01334502327298585,-0.01838885062600063,0.11424770775873874,0.03791415247677104,-0.04647171332782039,-0.10610600072649573,0.018233427126502638
